AJUSTE PARAMETROS
GENESYS 10S UV-Vis v4.003 2L5P336007

"Barrido,""11:12am 12Jun18"""
"Nombre An lisis,""ESPEC10min"""
"Modo de medici¢n,""Absorbancia"""
"L.O. de inicio,""200.0nm"""
"L.O. final,""1100.0nm"""
"Posicionador de Muestras,""Aut. 6"""
"Velocidad de Barrido,""R pido"""
"Intervalo,""1.0nm"""
"Correcci¢n de Celdas,""Apag."""
"#ID (0=OFF),""1"""
"Auto Almacenamiento,""Apag."""


# ID,1
"L. de onda,""Abs"""
984.0,-0.048
985.0,-0.048
986.0,-0.048
987.0,-0.049
988.0,-0.048
989.0,-0.050
990.0,-0.048
991.0,-0.051
992.0,-0.051
993.0,-0.048
994.0,-0.046
995.0,-0.046
996.0,-0.048
997.0,-0.049
998.0,-0.049
999.0,-0.049
1000.0,-0.049
1001.0,-0.050
1002.0,-0.050
1003.0,-0.051
1004.0,-0.050
1005.0,-0.050
1006.0,-0.050
1007.0,-0.050
1008.0,-0.051
1009.0,-0.051
1010.0,-0.051
1011.0,-0.051
1012.0,-0.050
1013.0,-0.051
1014.0,-0.050
1015.0,-0.051
1016.0,-0.051
1017.0,-0.052
1018.0,-0.050
1019.0,-0.051
1020.0,-0.052
1021.0,-0.053
1022.0,-0.052
1023.0,-0.054
1024.0,-0.052
1025.0,-0.053
1026.0,-0.054
1027.0,-0.053
1028.0,-0.054
1029.0,-0.053
1030.0,-0.054
1031.0,-0.055
1032.0,-0.055
1033.0,-0.054
1034.0,-0.055
1035.0,-0.054
1036.0,-0.054
1037.0,-0.054
1038.0,-0.056
1039.0,-0.052
1040.0,-0.056
1041.0,-0.057
1042.0,-0.054
1043.0,-0.057
1044.0,-0.057
1045.0,-0.059
1046.0,-0.054
1047.0,-0.057
1048.0,-0.056
1049.0,-0.053
1050.0,-0.056
1051.0,-0.056
1052.0,-0.057
1053.0,-0.056
1054.0,-0.057
1055.0,-0.056
1056.0,-0.060
1057.0,-0.058
1058.0,-0.056
1059.0,-0.058
1060.0,-0.060
1061.0,-0.061
1062.0,-0.060
1063.0,-0.062
1064.0,-0.059
1065.0,-0.058
1066.0,-0.056
1067.0,-0.059
1068.0,-0.058
1069.0,-0.056
1070.0,-0.057
1071.0,-0.061
1072.0,-0.057
1073.0,-0.062
1074.0,-0.061
1075.0,-0.061
1076.0,-0.060
1077.0,-0.060
1078.0,-0.065
1079.0,-0.062
1080.0,-0.060
1081.0,-0.067
1082.0,-0.061
1083.0,-0.058
1084.0,-0.063
1085.0,-0.060
1086.0,-0.064
1087.0,-0.063
1088.0,-0.062
1089.0,-0.063
1090.0,-0.064
1091.0,-0.059
1092.0,-0.056
1093.0,-0.055
1094.0,-0.068
1095.0,-0.059
1096.0,-0.068
1097.0,-0.057
1098.0,-0.072
1099.0,-0.063
1100.0,-0.059
